Left,Down,Right,Up
-0.9999999999999998,0.0,0.0,-0.9999999999999998
0.0,0.0,-0.9999999999999998,-0.9999999999999998
-0.9999999999999998,-0.9999999999999998,0.0,-0.9999999999999998
0.0,-100.0,-100.0,0.0
-0.9999999999999998,-0.9999999999999998,0.0,0.0
0.0,0.0,499.27160443863085,0.0
